รายงานรายวิชาที่เปิดสอนให้นิสิตลงทะเบียน,,,,,,,,,,,,,,
สถานที่จัดการเรียนการสอน มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,,,,,,,,,,,,,,
ภาคการศึกษา ภาคต้น/2568,,,,,,,,,,,,,,
วิชา,บรรยาย,,,,,,,ปฎิบัติ,,,,,,อาจารย์ผู้สอน
,3,3,815,"วันอังคาร  14:30-16:00,วันพฤหัสบดี  14:30-16:00","LH3-211 , LH3-211",Q08-4,76,,,,,,,"พชร ใจอารีย์* "
01132462-65 การจัดการธุรกิจครอบครัว (Family Business Management),3,3,700,"วันอังคาร  13:00-14:30,วันพฤหัสบดี  13:00-14:30","LH4-503 , LH4-503",Q08-4,68,,,,,,,"โสภณ สระทองมา* "
,3,3,815,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","LH2-204 , LH2-204","Q08-4 , Q08-6X",76,,,,,,,"โสภณ สระทองมา* "
01132465-65 การจัดการนวัตกรรมเพื่อธุรกิจ (Innovation Management for Business),3,3,700,วันพุธ  13:00-16:00,SC9-503,Q08-3,70,,,,,,,"โสภณ สระทองมา* "
,3,3,815,วันพุธ  9:00-12:00,SC9-503,"Q08-3 , Q08-4",116,,,,,,,"โสภณ สระทองมา* "
01132498-65 ปัญหาพิเศษ (Special Problems),,,,,,,,3,711,วันศุกร์  9:00-12:00,ติดต่อผู้สอน,"Q08-4 , Q08-3",69,"พงศ์พันธ์ ศรีเมือง* "
,,,,,,,,3,815,วันศุกร์  16:00-19:00,ติดต่อผู้สอน,"Q08-4 , Q08-6X",76,"พงศ์พันธ์ ศรีเมือง* "
01134111-65 หลักการตลาด (Principles of Marketing),3,3,700,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-202 , KH80-202",Q10-1,80,,,,,,,"ศุภชัย เหมือนโพธิ์* "
,3,3,825,"วันจันทร์  10:30-12:00,วันพุธ  10:30-12:00","KH80-202 , KH80-202",Q10-1,80,,,,,,,"ศุภชัย เหมือนโพธิ์* "
,3,3,826,"วันจันทร์  13:00-14:30,วันพุธ  13:00-14:30","KH80-202 , KH80-202",Q10-2,1,,,,,,,"ศุภชัย เหมือนโพธิ์* "
01134212-65 พฤติกรรมผู้บริโภค (Consumer Behavior),3,3,700,วันจันทร์  16:00-19:00,KH80-205,Q10-2,77,,,,,,,"รุ่งทิพย์ ไทยสม* "
,3,3,825,วันจันทร์  13:00-16:00,KH80-205,Q10-2,90,,,,,,,"รุ่งทิพย์ ไทยสม* "
01134312-65 การจัดการขาย (Sales Management),3,3,700,วันอังคาร  16:00-19:00,KH80-208,"Q10-4 , Q02-2",87,,,,,,,"ทาริกา สระทองคำ* "
,3,3,825,วันจันทร์  16:00-19:00,KH80-206,Q10-4,57,,,,,,,"ทาริกา สระทองคำ* "
,3,3,826,วันอังคาร  16:00-19:00,ติดต่อผู้สอน,Q10-4,12,,,,,,,"ทาริกา สระทองคำ* "
01134322-65 การตลาดดิจิทัล (Digital Marketing),3,3,700,วันจันทร์  16:00-19:00,KH80-203,Q10-3,86,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,3,3,809,วันพุธ  13:00-16:00,KH80-203,Q02-5,1,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,3,3,825,วันพุธ  13:00-16:00,KH80-203,Q10-3,79,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,3,3,826,วันจันทร์  16:00-19:00,ติดต่อผู้สอน,Q10-4,7,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
01134331-65 นโยบายผลิตภัณฑ์และราคา (Product and Price Policy),3,3,700,"วันจันทร์  9:00-10:30,วันพุธ  9:00-10:30","KH80-202 , KH80-202",Q10-3,86,,,,,,,"ศุภชัย เหมือนโพธิ์* "
,3,3,825,วันจันทร์  14:30-17:30,KH80-202,Q10-3,79,,,,,,,"ศุภชัย เหมือนโพธิ์* "
01134332-65 การจัดการผลิตภัณฑ์เชิงกลยุทธ์ (Strategic Product Management),3,3,700,วันอังคาร  9:00-12:00,KH80-207,"Q10-4 , Q28-3 , Q28-4 , Q10-5",100,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,3,3,809,วันจันทร์  13:00-16:00,KH80-203,Q02-5,1,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,3,3,825,วันจันทร์  13:00-16:00,KH80-203,Q10-4,58,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
01134341-65 การจัดการช่องทางการตลาด (Marketing Channel Management),3,3,700,วันอังคาร  9:00-12:00,KH80-208,"Q10-3 , Q28-3 , Q28-4",103,,,,,,,"ทาริกา สระทองคำ* "
,3,3,809,วันจันทร์  9:00-12:00,KH80-208,Q02-5,1,,,,,,,"ทาริกา สระทองคำ* "
,3,3,825,วันจันทร์  9:00-12:00,KH80-208,Q10-3,79,,,,,,,"ทาริกา สระทองคำ* "
01132498-65 การค้าปลีก (Retailing),3,3,700,วันจันทร์  13:00-16:00,ติดต่อผู้สอน,Q10-3,86,,,,,,,"ทาริกา สระทองคำ* "
,3,3,825,วันอังคาร  13:00-16:00,KH80-208,Q10-3,79,,,,,,,"ทาริกา สระทองคำ* "
01134351-65 การสื่อสารการตลาดแบบบูรณาการ (Integrated Marketing Communication),3,3,700,วันอังคาร  13:00-16:00,KH80-205,"Q10-3 , Q28-3 , Q28-4",101,,,,,,,"รุ่งทิพย์ ไทยสม* "
,3,3,825,วันอังคาร  9:00-12:00,KH80-205,Q10-3,79,,,,,,,"รุ่งทิพย์ ไทยสม* "
01134355-65 การส่งเสริมการขายและการตลาดกิจกรรม (Sales Promotion and Event Marketing),3,2,700,วันพุธ  16:00-18:00,LH2-301,"Q10-1 , Q10-2 , Q28-2 , Q10-3 , Q10-4 , Q10-5",133,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,,,,,,,,1,711,วันพุธ  18:00-20:00,LH2-301,"Q10-1 , Q10-2 , Q28-2 , Q10-3 , Q10-4 , Q10-5",133,"ไข่มุกด์ วิกรัยศักดา* "
,3,2,825,วันจันทร์  9:00-11:00,KH80-203,"Q10-1 , Q10-2 , Q10-3 , Q10-4",57,,,,,,,"ไข่มุกด์ วิกรัยศักดา* "
,,,,,,,,1,825,วันจันทร์  11:00-13:00,KH80-203,"Q10-1 , Q10-2 , Q10-3 , Q10-4",57,"ไข่มุกด์ วิกรัยศักดา* "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ข้อมูล ณ วันที่ 17 กันยายน 2568 - 16:22:55,,,,,,,,,,,,,,
